Age,RemoteWork,EdLevel,YearsCode,YearsCodePro,Country,Employment,ConvertedCompYearly
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17.0,17.0,United States of America,"Employed, full-time",175000.0
18-24 years old,In-person,Some college/university study without earning a degree,9.0,1.0,United States of America,"Employed, full-time;Student, full-time",39520.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,14.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",68535.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,2.0,United States of America,"Employed, full-time",120000.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,11.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",114649.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,12.0,United States of America,"Employed, full-time;Independent contractor, freelancer, or self-employed",80000.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24.0,20.0,Poland,"Independent contractor, freelancer, or self-employed",120000.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,0.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",33121.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,0.0,Ukraine,"Student, full-time;Independent contractor, freelancer, or self-employed",167.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,11.0,Portugal,"Employed, full-time",128887.0
45-54 years old,Remote,Some college/university study without earning a degree,38.0,27.0,Finland,"Employed, full-time",84851.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22.0,20.0,Canada,"Employed, full-time",87231.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,12.0,Canada,"Employed, full-time",93047.0
18-24 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8.0,4.0,Israel,"Employed, full-time",64762.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,13.0,United States of America,"Employed, full-time;Independent contractor, freelancer, or self-employed",163000.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,7.0,Germany,"Employed, full-time",78621.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,4.0,Netherlands,"Employed, full-time",64444.0
25-34 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,9.0,8.0,Lithuania,"Employed, full-time",85925.0
35-44 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",23.0,10.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",84076.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,15.0,Germany,"Employed, full-time",83777.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",37.0,17.0,Ukraine,"Employed, full-time",72000.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,2.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",35032.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,3.0,United States of America,"Employed, full-time",150000.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,12.0,Canada,"Employed, full-time",123578.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,18.0,Netherlands,"Independent contractor, freelancer, or self-employed",161109.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5.0,"Venezuela, Bolivarian Republic of...","Employed, full-time",15600.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,8.0,Finland,"Employed, full-time",46185.0
45-54 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28.0,23.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",63694.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,3.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",73885.0
55-64 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",40.0,25.0,United States of America,"Employed, full-time",145000.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,2.0,United States of America,"Employed, full-time",92000.0
55-64 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45.0,32.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",80254.0
55-64 years old,In-person,Some college/university study without earning a degree,28.0,28.0,United States of America,"Employed, full-time",118106.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,11.0,United States of America,"Employed, full-time",200000.0
25-34 years old,In-person,"Associate degree (A.A., A.S., etc.)",20.0,18.0,Italy,"Employed, full-time",32222.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,4.0,United States of America,"Employed, full-time",110000.0
45-54 years old,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",44.0,34.0,Sweden,"Independent contractor, freelancer, or self-employed",76307.0
35-44 years old,In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",12.0,10.0,Nicaragua,"Employed, full-time",72600.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,9.0,Cyprus,"Employed, full-time",161109.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,10.0,United States of America,"Employed, full-time",215000.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6.0,6.0,United States of America,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",145000.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,4.0,India,"Employed, full-time",41872.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14.0,10.0,Czech Republic,"Employed, full-time",3040.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,10.0,United States of America,"Employed, full-time",195000.0
55-64 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",42.0,38.0,United States of America,"Employed, full-time",165000.0
25-34 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,18.0,10.0,Netherlands,"Independent contractor, freelancer, or self-employed;Employed, part-time",36518.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,8.0,South Africa,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time",75332.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,5.0,Pakistan,"Employed, full-time",12921.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,8.0,Ukraine,"Employed, full-time;Independent contractor, freelancer, or self-employed",24000.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17.0,10.0,United States of America,"Employed, full-time",127000.0
18-24 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,2.0,United States of America,"Employed, full-time",98000.0
45-54 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",38.0,0.0,United States of America,"Employed, full-time",90000.0
45-54 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",34.0,24.0,France,"Employed, full-time",53703.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,8.0,United States of America,"Employed, full-time",175000.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,6.0,United States of America,"Employed, full-time",159000.0
35-44 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27.0,14.0,United States of America,"Employed, full-time",155000.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,7.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",127388.0
45-54 years old,Remote,Some college/university study without earning a degree,27.0,27.0,United Kingdom of Great Britain and Northern Ireland,"Independent contractor, freelancer, or self-employed",76433.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,12.0,Nicaragua,"Employed, full-time",211000.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4.0,3.0,Romania,"Employed, full-time",15536.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,9.0,United States of America,"Employed, full-time",257695.0
45-54 years old,In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35.0,24.0,France,"Employed, full-time",71962.0
45-54 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",38.0,22.0,Germany,"Employed, full-time",54777.0
25-34 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8.0,8.0,Israel,"Employed, full-time",100381.0
45-54 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35.0,25.0,Finland,"Employed, full-time",80555.0
18-24 years old,Remote,Some college/university study without earning a degree,12.0,6.0,Finland,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",239516.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,5.0,Netherlands,"Employed, full-time;Independent contractor, freelancer, or self-employed",60147.0
45-54 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,40.0,27.0,United States of America,"Employed, full-time",170000.0
25-34 years old,"Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",14.0,10.0,Switzerland,"Employed, full-time",89134.0
45-54 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",29.0,25.0,Serbia,"Employed, full-time",413.0
35-44 years old,Remote,Some college/university study without earning a degree,21.0,21.0,United States of America,"Employed, full-time",190000.0
18-24 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,3.0,Croatia,"Student, full-time;Employed, part-time",167554.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,4.0,Poland,"Employed, full-time",38604.0
35-44 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,24.0,19.0,Portugal,"Employed, full-time;Independent contractor, freelancer, or self-employed",83777.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,2.0,Netherlands,"Employed, full-time;Student, part-time",38666.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,6.0,United States of America,"Employed, full-time",120000.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,11.0,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",112101.0
18-24 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,3.0,United States of America,"Employed, full-time",85000.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,3.0,Brazil,"Employed, full-time",34609.0
45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,17.0,United States of America,"Independent contractor, freelancer, or self-employed",160000.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,4.0,Ukraine,"Employed, full-time",10000.0
18-24 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,2.0,Ukraine,"Employed, full-time",1500.0
45-54 years old,In-person,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",44.0,34.0,Sweden,"Independent contractor, freelancer, or self-employed",76307.0
25-34 years old,In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,1.0,Israel,"Employed, full-time",1889.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,7.0,Hungary,"Employed, full-time",45655.0
35-44 years old,"Hybrid (some remote, some in-person)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",4.0,2.0,Spain,"Employed, full-time",19333.0
45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35.0,25.0,United States of America,"Employed, full-time",174000.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,10.0,Portugal,"Employed, full-time",26852.0
55-64 years old,"Hybrid (some remote, some in-person)","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",40.0,35.0,Netherlands,"Employed, part-time",53703.0
35-44 years old,Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",30.0,25.0,Germany,"Independent contractor, freelancer, or self-employed",268515.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19.0,8.0,United States of America,"Employed, full-time",250.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,12.0,United States of America,"Employed, full-time",119000.0
35-44 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",29.0,24.0,Israel,"Employed, full-time",183493.0
25-34 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,5.0,Russian Federation,"Employed, full-time",33613.0
35-44 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,20.0,15.0,Portugal,"Employed, full-time",33296.0
45-54 years old,"Hybrid (some remote, some in-person)",Some college/university study without earning a degree,30.0,30.0,United States of America,"Employed, full-time",80000.0
35-44 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27.0,18.0,United States of America,"Employed, full-time",220000.0
45-54 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",32.0,30.0,United States of America,"Employed, full-time",100000.0
25-34 years old,Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11.0,7.0,Spain,"Employed, full-time",51555.0
18-24 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,3.0,France,"Employed, full-time",19333.0
25-34 years old,Remote,"Associate degree (A.A., A.S., etc.)",12.0,9.0,United States of America,"Employed, full-time",170000.0
25-34 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,8.0,United States of America,"Employed, full-time",126000.0
35-44 years old,In-person,Some college/university study without earning a degree,10.0,9.0,United States of America,"Employed, full-time;Independent contractor, freelancer, or self-employed",78000.0
45-54 years old,"Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,7.0,United States of America,"Employed, full-time",80000.0
35-44 years old,"Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,9.0,Bangladesh,"Employed, full-time",23454.0
25-34 years old,Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",19.0,18.0,"Iran, Islamic Republic of...","Employed, full-time;Employed, part-time",60000.0
